0 0.180000
1 0.300000
2 0.440000
3 2.760000
4 1.840000
5 0.540000
6 0.640000
7 0.260000
8 0.280000
9 0.380000
10 1.740000
11 1.940000
12 0.220000
13 0.260000
14 3.420000
15 3.860000
16 6.620000
17 10.280000
18 14.180000
19 8.580000
20 8.960000
21 6.840000
22 6.600000
23 6.660000
24 6.560000
25 8.600000
26 6.320000
27 5.060000
28 7.340000
29 4.280000
30 4.000000
31 3.620000
32 4.780000
33 6.680000
34 6.560000
35 7.360000
36 6.140000
37 7.920000
38 6.860000
39 6.860000
40 5.480000
41 5.260000
42 4.140000
43 7.660000
44 6.120000
45 6.880000
46 11.460000
47 3.900000
48 5.700000
49 513.260000
50 857.820000
51 20.280000
52 21.840000
53 21.840000
54 19.560000
55 12.500000
56 10.780000
57 28.720000
58 22.880000
59 12.660000
60 12.180000
61 1676.840000
62 2000.020000
63 2000.020000
64 361.380000
65 2000.020000
66 1278.440000
67 2000.020000
