0 0.320000
1 0.540000
2 1.020000
3 0.260000
4 0.540000
5 0.360000
6 0.540000
7 1.480000
8 0.660000
9 0.540000
10 0.880000
11 3.340000
12 6.540000
13 9.740000
14 7.120000
15 9.620000
16 15.040000
17 19.200000
18 37.540000
19 11.880000
20 12.180000
21 16.020000
22 15.840000
23 9.560000
24 9.660000
25 11.020000
26 9.480000
27 9.580000
28 9.440000
29 9.380000
30 9.300000
31 10.140000
32 9.900000
33 9.460000
34 3.200000
35 10.180000
36 11.840000
37 13.040000
38 9.060000
39 11.460000
40 9.580000
41 9.820000
42 12.840000
43 12.420000
44 11.140000
45 12.700000
46 11.780000
47 14.280000
48 15.820000
49 45.880000
50 22.220000
51 73.920000
52 22.220000
53 22.280000
54 22.220000
55 22.220000
56 22.220000
57 22.220000
58 22.220000
59 56.340000
60 22.220000
61 22.220000
62 22.220000
63 22.220000
64 22.220000
65 22.220000
66 22.220000
67 22.220000
68 22.220000
69 22.220000
70 22.220000
71 22.220000
72 22.220000
73 22.220000
74 2000.020000
75 2000.020000
76 2000.020000
77 2000.020000
78 2000.020000
79 2000.020000
